i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
104	-961.161220121	3855.00709572	0.0	-1039.03066838	3846.8786614	31.7499259033	-77.86944825807336	-8.12843431264487	31.74992590327176
105	-1043.14775492	3893.08042115	0.0	-1082.44060903	3982.11003967	16.7370627706	-39.2928541077193	89.02961851731811	16.737062770607253
106	-1127.13811723	3930.79775024	0.0	-1113.3739744	3972.08199042	-7.39529382824	13.76414282922407	41.28424018040366	-7.3952938282385645
107	-1213.17707918	3968.12342613	0.0	-1257.16845521	3909.86291128	51.3366779215	-43.99137603080254	-58.26051484539021	51.33667792152096
108	-1301.30975561	4005.01961159	0.0	-1319.71203604	4014.65907049	25.0171071983	-18.402280434757728	9.639458898413196	25.01710719829306
109	-1391.58151753	4041.44618038	0.0	-1347.19322736	3999.05228458	-28.2464141325	44.388290171907954	-42.39389579364299	-28.246414132462448
110	-1484.03789459	4077.360605	0.0	-1567.37268668	4096.9556284	-22.3793765497	-83.33479209187338	19.595023395818174	-22.379376549670255
111	-1578.72446548	4112.7178412	0.0	-1482.16752192	4194.82767285	-48.7560464696	96.5569435682115	82.10983165637973	-48.75604646958762
112	-1675.68673535	4147.47020911	0.0	-1663.85931793	4169.10489757	20.7404792985	11.827417417126028	21.63468845763994	20.7404792985393
113	-1774.9699991	4181.56727164	0.0	-1768.12159579	4229.35161594	-31.4315327659	6.848403309794946	47.78434429314714	-31.431532765940332
114	-1876.61918946	4214.95571015	0.0	-1899.56613653	4264.25100163	-48.5095602981	-22.94694706518021	49.29529147860262	-48.50956029812301
115	-1980.67870861	4247.57919792	0.0	-2048.3855743	4312.58877361	-86.106217419	-67.7068656908077	65.00957569374336	-86.10621741898143
116	-2087.19224204	4279.37827198	0.0	-2093.75304406	4203.34436631	-48.4851210134	-6.560802010189249	-76.03390566915714	-48.48512101337745
117	-2196.2025535	4310.29020372	0.0	-2096.49920797	4410.21122391	-67.1822741744	99.70334553459583	99.92102018821382	-67.18227417443683
118	-2307.75125942	4340.24886902	0.0	-2212.58198617	4259.79010618	5.38265367335	95.16927324339076	-80.45876284215277	5.382653673353175
119	-2421.87858165	4369.18461877	0.0	-2370.29137832	4345.89619199	-0.016725442454	51.58720332665325	-23.288426775790526	-0.016725442453974892
120	-2538.62307692	4397.0241505	0.0	-2539.42677938	4446.35433868	-67.2805449406	-0.8037024562885193	49.33018818451097	-67.28054494064213
121	-2658.02134159	4423.69038245	0.0	-2681.44516744	4515.81190019	12.9581926918	-23.423825854468078	92.12151773634452	12.958192691788355
122	-2780.10769019	4449.10233106	0.0	-2767.32058037	4406.7710968	-2.43334785952	12.787109815038477	-42.331234254724315	-2.433347859519671
123	-2904.91380635	4473.1749933	0.0	-2982.52924287	4417.71512554	-92.5573312782	-77.61543652130642	-55.45986776152214	-92.55733127816906
124	-3032.4683646	4495.81923561	0.0	-3066.34322466	4422.24356126	32.6327144311	-33.874860058263195	-73.57567434796464	32.63271443110949
125	-3162.79662159	4516.94169086	0.0	-3168.14693832	4591.45588877	-5.26340686545	-5.350316725399296	74.51419791251783	-5.263406865454414
126	-3295.9199755	4536.4446656	0.0	-3302.3902281	4471.76114623	-69.4791064922	-6.470252593822721	-64.68351937363626	-69.4791064921815
127	-3431.85549238	4554.22605971	0.0	-3397.27103973	4584.93104094	19.2042671039	34.58445264811269	30.70498123818399	19.204267103899866
128	-3570.6153982	4570.1793007	0.0	-3614.98856602	4534.38789786	-1.6609003635	-44.37316782554939	-35.79140284315298	-1.6609003635029325
129	-3712.20653595	4584.19329572	0.0	-3669.80898405	4556.00184882	71.9047085278	42.397551902640856	-28.1914468978307	71.90470852783523
130	-3856.62978687	4596.1524038	0.0	-3925.27442068	4586.02011191	-93.4274255876	-68.6446338165797	-10.132291891618422	-93.42742558758492
131	-4003.87945551	4605.93643194	0.0	-4099.8696763	4694.80762727	66.3901399923	-95.99022078945194	88.87119533099346	66.39013999227518
132	-4153.94261865	4613.42065815	0.0	-4073.83351262	4590.14950306	-55.296964788	80.10910602934027	-23.27115509900044	-55.296964788003166
133	-4306.79843828	4618.4758856	0.0	-4370.30035138	4585.15440467	74.8097410612	-63.50191309587625	-33.32148092699103	74.80974106118703
134	-4462.41743961	4620.9685315	0.0	-4433.03873266	4624.57111785	-55.9782413029	29.37870694785542	3.602586351178516	-55.97824130289024
135	-4620.76075542	4620.76075542	0.0	-4711.65492446	4543.39208896	45.3401282615	-90.8941690391843	-77.36866645821402	45.34012826153875
136	-4781.77933892	4617.7106312	0.0	-4791.50413779	4551.05788495	-10.0876285122	-9.724798867208492	-66.65274624976215	-10.08762851215836
137	-4945.41314779	4611.6723675	0.0	-4896.17773997	4685.16275429	-98.3761660352	49.23540782610718	73.49038679056162	-98.37616603521386
138	-5111.59030307	4602.49658168	0.0	-5033.2806358	4546.4609612	44.989041368	78.30966727202099	-56.03562047940835	44.98904136800826
139	-5280.22622749	4590.03063222	0.0	-5379.86194179	4655.59470412	7.35157133551	-99.63571430176552	65.56407190070962	7.351571335505838
140	-5451.22276879	4574.11901476	0.0	-5468.88946004	4540.75146418	79.6950275505	-17.66669125344788	-33.36755057726299	79.69502755052471
141	-5624.46731478	4554.60382674	0.0	-5648.83415394	4507.57252112	-84.9425709284	-24.366839161008016	-47.0313056103713	-84.94257092842119
142	-5799.83190798	4531.32530586	0.0	-5876.33841506	4577.90607636	22.1033175821	-76.50650708386948	46.58077049507793	22.103317582134423
143	-5977.17236923	4504.122447	0.0	-5977.08140962	4568.04971971	-99.7945668381	0.09095960870924102	63.92727271422004	-99.79456683814438
144	-6156.32744077	4472.83370205	0.0	-6237.52741899	4570.34131535	-0.305692985388	-81.19997822298257	97.50761330740238	-0.30569298538812006
145	-6337.11796086	4437.29776672	0.0	-6384.60581654	4523.8267723	23.522570062	-47.48785568186864	86.52900558591375	23.522570062005727
146	-6519.34608355	4397.3544576	0.0	-6535.25565175	4317.35445105	-57.3490736658	-15.909568202016075	-80.00000654712343	-57.34907366582445
147	-6702.79455845	4352.8456819	0.0	-6741.51370415	4337.44931969	41.1735688121	-38.719145700985266	-15.396362204507753	41.1735688120952
148	-6887.22608708	4303.61650149	0.0	-6958.73575367	4335.87331626	-6.0362100127	-71.50966658927658	32.25681477142018	-6.036210012701176
149	-7072.38277349	4249.51629128	0.0	-6988.1417037	4280.91853001	-75.2143736612	84.24106979088728	31.402238731671133	-75.21437366120314
150	-7257.98568826	4190.39999089	0.0	-7192.93496812	4110.09623451	37.7844310826	65.05072013917612	-80.30375637903056	37.78443108259887
151	-7443.73456599	4126.12944654	0.0	-7359.02056217	4161.76638091	81.2586282423	84.714003815632	35.636934373489055	81.25862824227087
152	-7629.30765721	4056.57483838	0.0	-7568.98330881	4106.09858733	-15.0339913419	60.32434839213431	49.52374894843888	-15.033991341891209
153	-7814.36175618	3981.61618633	0.0	-7867.9896671	3912.20646012	-24.2712245306	-53.62791091904282	-69.40972620699154	-24.271224530585272
154	-7998.53242619	3901.14492495	0.0	-7959.11423053	3805.27537138	0.157644876899	39.418195658834605	-95.86955357362015	0.15764487689946804
155	-8181.43444363	3815.06553576	0.0	-8156.8963669	3773.1692859	82.0284866479	24.53807673563084	-41.89624985489726	82.02848664791307
156	-8362.66248124	3723.2972222	0.0	-8432.70360382	3794.47386684	-40.4327710836	-70.04112258075972	71.1766446370033	-40.43277108361556
157	-8541.7920496	3625.77561035	0.0	-8596.48984783	3556.74270883	-62.2083509368	-54.6977982370221	-69.03290152045875	-62.208350936764155
158	-8718.38071363	3522.45445512	0.0	-8711.30452972	3470.98703323	-69.3230315183	7.076183916078932	-51.467421894018	-69.32303151828923
159	-8891.96959835	3413.30732943	0.0	-8795.44343746	3351.83695896	22.6717710595	96.52616088586683	-61.47037047183148	22.671771059474437
160	-9062.08519417	3298.32927106	0.0	-9024.0533482	3231.91030008	47.8609826302	38.03184596670232	-66.41897098362043	47.86098263024792
161	-9228.24146816	3177.53835959	0.0	-9235.67723169	3172.1233675	-77.0589940984	-7.435763524976167	-5.4149920934910085	-77.05899409838926
162	-9389.94228228	3050.977194	0.0	-9418.59058187	3060.21874744	-31.7830386561	-28.648299589267907	9.241553435385399	-31.783038656083633
163	-9546.68411401	2918.71423985	0.0	-9578.04231928	2838.55776687	-3.32661456905	-31.35820527161637	-80.15647297585747	-3.3266145690528077
164	-9697.95906844	2780.84501415	0.0	-9674.62889254	2716.75440532	-18.7139044616	23.33017589842079	-64.09060883057005	-18.713904461637583
165	-9843.25816395	2637.49307592	0.0	-9938.84492645	2571.07795563	-56.4176208934	-95.58676250170046	-66.41512028809657	-56.41762089344056
